Order ID,Date,Customer Segment,Product Category,Product Name,Region,Sales,Profit,Quantity
ORD-114546,2022-01-01,Corporate,Sporting Goods,Basketball,West,359.09,55.96,1
ORD-111403,2022-01-01,Consumer,Furniture,Filing Cabinet,North,587.62,74.08,1
ORD-103692,2022-01-01,Consumer,Office Supplies,Label Printer,South,576.07,104.59,8
ORD-108818,2022-01-01,Consumer,Health & Beauty,Massage Gun,South,155.02,51.58,2
ORD-109981,2022-01-01,Corporate,Furniture,Bookcase - 5 Shelf,South,5833.34,1080.79,6
ORD-105230,2022-01-01,Corporate,Furniture,Dining Table Set,West,4234.19,-97.07,6
ORD-111506,2022-01-01,Consumer,Office Supplies,Sticky Notes Pack,East,624.78,122.1,4
ORD-112686,2022-01-01,Corporate,Technology,Webcam HD,West,4826.96,608.55,6
ORD-104733,2022-01-01,Consumer,Office Supplies,Stapler Heavy Duty,North,518.23,53.12,8
ORD-105389,2022-01-01,Consumer,Sporting Goods,Golf Club Set,West,498.76,124.18,1
ORD-105435,2022-01-01,Consumer,Sporting Goods,Hiking Backpack,South,733.5,90.05,2
ORD-105050,2022-01-01,Consumer,Technology,Laptop Stand,South,321.31,43.76,3
ORD-112983,2022-01-02,Corporate,Clothing,Cotton T-Shirt,South,154.56,61.29,6
ORD-105328,2022-01-02,Consumer,Office Supplies,Sticky Notes Pack,West,1315.04,174.56,8
ORD-106996,2022-01-02,Consumer,Technology,Bluetooth Speaker,South,5849.13,210.29,4
ORD-113823,2022-01-02,Corporate,Clothing,Running Shoes,South,35.25,12.02,1
ORD-105101,2022-01-02,Corporate,Clothing,Formal Trousers,West,288.41,121.13,3
ORD-103676,2022-01-02,Corporate,Technology,Laptop Stand,South,999.57,289.58,6
ORD-111364,2022-01-02,Corporate,Sporting Goods,Tennis Racket,East,1196.85,354.18,6
ORD-104062,2022-01-02,Consumer,Clothing,Winter Coat,West,375.19,161.83,3
ORD-113092,2022-01-02,Consumer,Sporting Goods,Dumbbell Set,East,119.09,14.01,5
ORD-100474,2022-01-02,Home Office,Clothing,Baseball Cap,East,513.79,67.2,4
ORD-101069,2022-01-02,Consumer,Furniture,Adjustable Standing Desk,North,7050.69,-423.37,7
ORD-106354,2022-01-02,Consumer,Health & Beauty,Vitamin Supplements,North,305.11,82.8,3
ORD-106839,2022-01-02,Consumer,Sporting Goods,Camping Tent,East,2164.94,384.6,4
ORD-110310,2022-01-03,Consumer,Technology,Wireless Mouse,East,1669.08,425.47,2
ORD-106908,2022-01-03,Consumer,Furniture,Ergonomic Mesh Chair,North,4238.42,-473.64,6
ORD-104429,2022-01-03,Home Office,Sporting Goods,Tennis Racket,East,967.98,195.0,5
ORD-110832,2022-01-03,Consumer,Technology,Mechanical Keyboard,East,5835.02,1432.48,7
ORD-108553,2022-01-03,Consumer,Technology,Mechanical Keyboard,East,8463.55,232.0,7
ORD-112838,2022-01-03,Consumer,Clothing,Cotton T-Shirt,West,187.7,22.96,1
ORD-102167,2022-01-03,Consumer,Sporting Goods,Fitness Tracker,North,2225.91,606.1,7
ORD-101029,2022-01-04,Consumer,Technology,Bluetooth Speaker,East,1204.97,202.89,7
ORD-105884,2022-01-04,Consumer,Furniture,Executive Office Chair,East,367.78,38.69,1
ORD-113513,2022-01-04,Consumer,Health & Beauty,Hair Dryer,North,1107.45,140.65,7
ORD-114004,2022-01-04,Consumer,Clothing,Running Shoes,East,557.31,149.3,3
ORD-110050,2022-01-04,Consumer,Office Supplies,Label Printer,North,307.5,18.48,2
ORD-105322,2022-01-04,Home Office,Health & Beauty,Perfume,South,293.26,33.87,2
ORD-109835,2022-01-04,Corporate,Health & Beauty,Hair Dryer,North,1663.21,298.55,7
ORD-100271,2022-01-04,Consumer,Furniture,Study Desk,South,1764.35,-153.09,4
ORD-102917,2022-01-04,Corporate,Sporting Goods,Fitness Tracker,North,597.25,134.88,6
ORD-111131,2022-01-04,Consumer,Office Supplies,Ballpoint Pen Box,East,228.77,36.63,3
ORD-110587,2022-01-04,Home Office,Health & Beauty,Electric Toothbrush,East,78.86,17.59,3
ORD-101597,2022-01-04,Consumer,Health & Beauty,Yoga Mat,East,415.03,27.52,7
ORD-111800,2022-01-05,Consumer,Office Supplies,Desk Organizer,East,1178.6,206.62,7
ORD-104810,2022-01-05,Corporate,Office Supplies,Copy Paper Ream,East,641.86,167.61,5
ORD-100690,2022-01-05,Consumer,Sporting Goods,Hiking Backpack,South,222.7,42.42,1
ORD-114735,2022-01-05,Consumer,Health & Beauty,Perfume,East,553.44,124.61,2
ORD-108747,2022-01-05,Consumer,Furniture,Conference Table,South,4473.04,516.88,6
ORD-102496,2022-01-05,Consumer,Health & Beauty,Yoga Mat,South,172.42,50.45,2
ORD-105425,2022-01-05,Consumer,Office Supplies,Label Printer,North,62.7,4.31,2
ORD-105483,2022-01-05,Home Office,Sporting Goods,Golf Club Set,South,1622.22,314.56,6
ORD-106436,2022-01-05,Consumer,Health & Beauty,Electric Toothbrush,West,58.78,6.16,1
ORD-105651,2022-01-05,Consumer,Health & Beauty,Digital Scale,North,264.46,39.11,2
ORD-100531,2022-01-06,Corporate,Furniture,Adjustable Standing Desk,East,1073.39,154.69,6
ORD-106394,2022-01-06,Corporate,Clothing,Baseball Cap,West,247.59,97.0,6
ORD-101790,2022-01-06,Consumer,Clothing,Running Shoes,East,710.47,317.39,4
ORD-105861,2022-01-06,Consumer,Clothing,Winter Coat,West,817.21,91.45,5
ORD-101986,2022-01-06,Corporate,Health & Beauty,Massage Gun,West,875.62,184.6,5
ORD-109218,2022-01-06,Corporate,Furniture,Bunk Bed Frame,South,1528.16,-58.92,8
ORD-111563,2022-01-06,Consumer,Sporting Goods,Hiking Backpack,South,264.48,47.99,8
ORD-114880,2022-01-06,Corporate,Technology,Noise Cancelling Headphones,East,2257.9,579.91,5
ORD-108219,2022-01-06,Corporate,Clothing,Wool Sweater,East,555.64,128.13,7
ORD-102429,2022-01-06,Consumer,Office Supplies,Shredder,South,195.06,21.96,8
ORD-108015,2022-01-06,Corporate,Furniture,Filing Cabinet,South,435.16,9.33,2
ORD-103090,2022-01-06,Home Office,Technology,Smartphone,East,4861.29,1192.23,5
ORD-100492,2022-01-06,Corporate,Health & Beauty,Hair Dryer,East,547.64,37.85,2
ORD-106440,2022-01-06,Consumer,Sporting Goods,Dumbbell Set,North,409.02,41.34,4
ORD-113898,2022-01-06,Consumer,Sporting Goods,Golf Club Set,East,240.78,71.59,1
ORD-112381,2022-01-06,Corporate,Sporting Goods,Camping Tent,North,2609.8,391.07,8
ORD-103683,2022-01-07,Consumer,Clothing,Denim Jacket,West,567.12,100.74,7
ORD-111132,2022-01-07,Corporate,Clothing,Winter Coat,North,268.27,101.49,3
